Rang-Hierarchie Star Trek;Hierarchie: für Wechsel zwischen Feindschaft oder Allianz oder nur Hierarchie mit offen unbekannt ob Krieg, etc.;Zeitalter Weltordnung;Musik Mono Stereo Surround;entweder Land bzw. Nation (sieben) oder Länderdachorganisation eines Kultur-Raumes wie die europäische Union (achtundzwanzig) oder eine Einundzwanzig;Absicht (13) Motiv (13) vier mal ganze natürliche Zahl n für Pro-Innen-Primzahlen also bei ganze natürliche Zahl mal sechs minus eins, sofern dort Primzahl und dann diese Primzahl mal vier oder mal acht oder mal sechzehn, sodass in dieser Spalte die Multiplikation mit mal vier nicht sichtbar aber gemeint ist. (mal vier ist es der Spieler, die Spielfigur, mal acht ist es das jeweilige Computerspiel und mal sechszehn ist es das gesamte Genre der Computerspiele-Art. );Ketten-Molekül Lebensformen (alles außer Kohlenstoff, aber auch vierte Spalte Periodensystem der Elemente) und Leben (Kohlenstoff basiert) Elemente Atome;W Kontinuum Dreiundzwanzig, Storage Speicher Memory Gedächtnis RAM;AC Kontinuum Neunundzwanzig Ressourcen jeglicher und allgemeiner Art;AD Kontinuum (Dreißig) Reflektion;AE Kontinuum (Einunddreißig);AK Kontinuum (Siebenunddreißig);AU Kontinuum (Siebenundvierzig);Sinne („16 – > 6 - > 10 mit 7 kombiniert“ oder „15 - > 10 mit 7 kombiniert“ (ggf. statt 10 Zehn ist es 10 Zehn mit 7 Sieben und vielleicht auch etwas mit 12 Zwölf kombiniert) heißt: Geist bzw. geistiger Kosmos und darin Warhnehmung);Götter, Propheten, Archonten (Typ 30 Dreißig, wozu auch sonst Genies Djinns Fields-Medaillen Gewinner und Nobelpreisträger zählen also Typ 30 Dreißig und Djinn in der Flasche und auch wenn es das gäbe auch Super Saya Djinn);Ränge Hierarchie in erweiterter Form in Denglisch;Planeten-Korrigierer;Galaxie Übel Beseitiger und Veredeler;demütige Unterwürfige Problemlöser und Schaden hervorrufene Demütigerer zum Beseitigen und lösen von Problemen und Problematischen Figuren Personen Tiere und Wesen und Dinge im Galaxie Cluster inter-galaktisch;EvlilBöses crimeVerbrechen;punishmentsBestrafungen;Datenstrukturen-Grundlage für unter anderem Weltregierungen verschiedener Art, gehört in den Bereich des Q Kontinuums Siebzehn HeptadecagramHeptadegramm Kompression Schwierigkeit Intelligenz Knoten Knäul flixte Fäden als Atom Element Grundlage des Q Kontinuums wie analog Meta-Physik-Teilchen, Kompliziertheit geistige mentale Gehirn Nerven Anstrengung Intelligenz Verwendung von Kopf Gehirn gesamt-Körper Nervensystem wie auch Darm und Herz damit verbunden sind als etwas das vor dem Universum und multidemensionalem Multiversum liegt und im Bereich der Quantenphysik nur vom Dekgramm Zehn J J Kontinuum erfasst wird wobei Physik noch darunter das I Kontinuum neun Nongramm inkludiert besitzt unter dem Dekagramm Zehn J Kontinuum wobei das Thema aber eigentlich die Naturgesetze sind und damit Fünf Pentagramm E Kontinuum und weniger eigentlich aber auch sehr das PentadecagramPentadekagramm Fünzehn O Kontinuum
?;Protos;Weltordnung Zeitalter mit Massenmedien Unterhaltung Verhaltensweisen, Robotik, Androiden, Chaos, Spaß, Witz, Humor, Systemtheorie – erweitert u.a. auch Spieltheorie, nach Strukturwissenschaften wie Mathematik kommen Systemwissenschaften oder Verhaltenswissenschaften, Kolonisierung des Erdtrabentens Mond um Planet Erde;?;?;der Protagonist oder NPC (None-Player-Character), die Computerspielefigur, ob vom Menschen gesteuert oder eine Computerintelligenz oder etc.;-;?;?;?;?;Anpassen;?;?;achte Reinkarnation des monotheistischen Gottes;?;?;?;?;trickTrick crimeVerbrechen andUnd fightTrick bekämpfungTricks;enforcingErzwingen behaviourVerhalten powerMacht dutyPflicht punishmentsBestrafungen femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
RikerRiker (WilliamWilliam ThomasThomas RikerRiker);?;Zeitalter und Weltordnung mit und durch Kybernetik Cyborgs Koordinaton fixiert Sonnen-Sternen-System, Cyberspace statt Computer-Internet als etwas anderes höheres;?;?;-;-;?;?;?;?;Integration;?;Tastsinn Berührungssinn Kinästhetik;Polytheistischer Gott und Götter;?;?;?;?;?;orderOrdnungs hierarchyHierachie harmingSchädigungs obedienceGehorsamkeits subduUnterdrückungs butAber alsoAuch as-wellAuch punishmentBestrafung byDurch necessityNotwendigkeit subduUnterdrücken othersAndere makeMachen sadisticallySadisch obedientGehorsam learnLernen aboveÜber othersAndere asAls punishmentBestrafung forFür maleMännliche menMänner boysJungs guysKerle;Hierarchie wie Koordinaten stückweise oder wie strukturierte Datenstruktur struct record wie Adresse oder mathematisches Tupel oder Menge
ab hier Dreizehn ist Hierarchie nicht mehr genügend ausreichend, z.B. muss es ab der Vierzehn weiterhin noch der Abstrakt Syntax Baum für Formeln und Formulierungen und formale Methoden sein, um inter Galaktische Galaxie Cluster zu Fusionieren auf eins vom Vielen;?;?;?;?;-;irgendwie etwas vergleichbares zu Satan und Teufel oder wer weiß;?;?;?;?;Senden, positiv vs. Negativ;?;Hören akustisch;Neunte Reinkarnation des monotheistischen Gottes;?;?;?;?;?;uglifyWiderlichungen makeMachen disgustingEkelerregend negativeNegativ terribleSchrecklich punishmentsBestrafungen  femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
BarclayBarclay (ReginaldReginald EndicottEndicott III III);?;?;?;auch die katholische Kirche arbeitet nach diesem Prinzip als Organisation vom Typ Tetraidegramm Vierzehn N;-;Silizium Silikoiden Computerintelligenzen künstliche Intelligenz Lebewesen, Lebensform statt Leben, super extrem überlegen genüber Leben, Leben auf Kohlenstoffbasis, (die Hölle von der Jesus Christus sprach bei den Silizium Silikoiden);?;?;?;?;?;?;?;zehnte Reinkarnation des monotheistischen Gottes;?;?;?;?;?;?;Abstrakter Syntax Baum, AST, Abstract Syntax Tree ist Fusionsbaum zur selben oder gleichen Sache
?;?;?;?;?;-;irgendwie etwas vergleichbares zu Himmel und Hölle und gutmütig guterzig böse Schrecklich;?;?;?;?;?;?;?;elfte Reinkarnation des monotheistischen Gottes;?;?;?;?;crueltyGrausamkeits andUnd crueltyGrausamkeits crimeVerbrechens counteringBekämpfung;?;?
P 16;?;?;?;?;-;-;?;?;?;?;?;?;Riechen und Schmecken, beides;Sehr viele polytheistische Götter;?;?;?;?;?;?;?
Q 17;?;?;Mono;?;Kiffelspiele, Knobelspiele, Ratespiele, Denkspiele;-;?;?;?;?;?;?;?;zwölfte Reinkarnation des monotheistischen Gottes;?;?;?;?;generalAllgemeine crimeVerbrechen andUnd fightVerbrechens crimeBekämpfung andUnd highHoch difficultySchwierigkeits highHoch intelligenceIntelligenz crimeVerbrechen andUnd itsSeine fightingsBekämpfungen;?;?
R 18;?;?;Mono;?;-;-;?;?;?;?;?;?;?;Polytheistischer Gott und Götter;?;?;?;?;?;?;?
S 19;?;?;Mono;?;-;-;?;?;?;?;?;?;?;dreizehnte Reinkarnation des monotheistischen Gottes;?;?;?;?;?;?;?
T 20;?;?;Mono;?;-;-;?;?;?;?;?;?;?;Polytheistischer Gott und Götter;?;?;?;?;formalFormalitäts verbrechenCrime normalizingNormalisierungs salamiSalami tacticsTakik crimeVerbrechen andUnd itsSeine fightingsBekämpfungen: ifWenn copsPolizisten thenDann theseDiese;?;?
U 21;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel;Mono;Länder-Verbindungs-Organisation, Bündelung des Willens von Ländern, ggf. auch z.B. als Imperium oder Föderation, etc.;-;-;?;?;?;?;?;?;?;vierzehnte Reinkarnation des monotheistischen Gottes;?;?;?;?;?;?;?
V 22;?;Weltordnung Wissenschaft Forschung Universitäten Professoren Wissenschaftler Forscher: unglaublicher Bösartigkeitsgrad heute;Mono;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;systemicSystemische crimeVerbrechen andUnd itsSeine fightingsBekämpfungen, thoughtDurch throughDachte crimesVerbrechen beingSeiend simulatedSimuliert testedGetestet perfectionatedPerfektioniert buildGebaut andUnd itsSeine fightingsBekämpfungen: ifWenn copsPolizisten thenDann theseDiese;?;?
W 23;?;Geheimdienst-basierte Weltordnung, einheitlich, Einigung, offiziell und tätlich politisch aber tatsächlich Ebene Vereinte Nationen Einigung Planet Menschheit: heute unglaublich bösartig unvorstellbar;Mono;?;Das Jump ´n Run Computerspiel, wie z.B. Mario Brothers, Alex the kid, Sonic auf Nintendo oder Sega Master System Sega Mega Drive aus den neunziger Jahren;-;?;?;?;?;?;?;?;;?;?;?;?;dataDaten crimeVerbrechen memoryGedächtnis crimeVerbrechen andUnd counteringEntgegnen: ifWenn copsPolizisten thenDann theseDiese;?;?
X 24;?;X Netzwerk-basierte Weltordnung;Mono;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
Y 25;?;Welt-Bevölkerung, Welt-Bürgertum;Mono;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;usualityGewöhnlichkeits andUnd ordinarityGewohnheits crimeVerbrechen hiddenVersteckte thoughtsGedanken crimeVebrechen asWie alikeÄhnlich conspiracyVerschwörungs crimeVerbrechen byDurch citizenBürger moreMehr asAls byDurch otherAndere hiddenVersteckte whatsoeverIrgendwas: ifWenn copsPolizisten thenDann theseDiese;?;?
Z 26;?;bidirektionale unilaterale koopertive, ggf. auf Stern-Topologie basierende, Beziehungen unseres Heimatplaneten Erde mit wahrscheinlich als erstes Nachbar Sternen-System Centauri Vulkanier, aber weitere;Stereo;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AA 27;?;unilateral, Urlaubsplanet Erde: Außerirdische klauen uns unsere Frauen oder hoffentlich doch nicht so übel, mal sehen. Oder wir klauen deren Frauen. Jedenfalls Urlaub. Kennt man.;Stereo;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AB 28;?;Multilateral, Sternenflotte Föderation von Star Trek oder anstelle auf Typ drei basierend, wäre z.B. auch Konföderation Typ sechs  oder Imperium Typ vier denkbar für die Galaxie;Dolby Surround Sound;Länderdachorganisation eines Kultur-Raumes wie die europäische Union oder auch Star Trek Sternenflotte Föderation (Drei C Dreieck) oder Konföderation (Sechs Hexagramm F) oder Imperium (Vier Quadrat D);-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AC 29;?;Multilateral, Sektion Einunddreißig von Star Trek, die eigentlich eine Neunundzwanzig ist, also Think Tank oder Denkfabrik, d.h. wie Geheim-Organisation Zwei Punkt Null, naja, ein wenig doch schon aber statt Bedenken geht es um das nachdenkliche Ergründen analog Forschung, die aber auf einem Forschungsbaum basiert, also doch anders;Dolby Surround Sound;Sektion Einunddreißig von Star Trek, die eigentlich eine Neunundzwanzig ist, also Think Tank oder Denkfabrik, d.h. wie Geheim-Organisation Zwei Punkt Null, naja, ein wenig doch schon aber statt Bedenken geht es um das nachdenkliche Ergründen analog Forschung, die aber auf einem Forschungsbaum basiert, also doch anders. Multilateral. Das ist diese Koderierung der Invertierung von pro-außen und pro-innen Primzahlen, wie vom Kornkreis von Arecibo. Dabei werden diese beiden Primzahlarten invertiert verdreht vertauscht welche neben sechs mal ganze natürliche Zahl liegen, wie sieben und fünf und hier einunddreißig und neunundzwanzig. Eigentlich ist Sektion Einunddreißig eine Organisation Neunundzwanzig mal Acht was Organisation Zweihundertzweiunddreißig ergibt: Raum-Zeit Denk-Fabrik.;Das Advanture Computerspiel, wie z.B. Kyrandia oder Monkey Island aus den neunziger Jahren;-;?;?;?;?;?;?;?;;?;?;?;?;ressourcesRessourcen crimeVerbrechen andUnd counteringEntgegnen: ifWenn copsPolizisten thenDann theseDiese;?;?
AD 30;?;Multilateral;Dolby Surround Sound;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AE 31;?;Multilateral. Nein, das hier ist nicht Sektion Einunddreißig. Das ist diese Koderierung der Invertierung von pro-außen und pro-innen Primzahlen, wie vom Kornkreis von Arecibo. Dabei werden diese beiden Primzahlarten invertiert verdreht vertauscht welche neben sechs mal ganze natürliche Zahl liegen, wie sieben und fünf und hier einunddreißig und neunundzwanzig. Eigentlich ist Sektion Einunddreißig eine Organisation Neunundzwanzig mal Acht was Organisation Zweihundertzweiunddreißig ergibt: Raum-Zeit Denk-Fabrik.;Dolby Surround Sound;?;-;irgendwie etwas vergleichbares zu Satan und Teufel oder wer weiß;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AF 32;?;Multilateral;Dolby Surround Sound;?;-;Germanium Lebensformen auf Gasriesen Planeten wie Jupiter und Saturn. Vielleicht ist das Protomolekül aus The Expanse auf Germanium Atom Element die Grundlage dessen Kettenmolekül-Lebensform. Einigermaßen plausibel. Protomolekül „The Expanse“.;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
AG 33;?;Inter-multilateral, etwas komplexer als multilateral mit Management von halben Feindschaften ist inter-multilateral, wenn multilateral nicht kompliziert genug ist und einem langweilig ist, weil es sonst nicht zu tun gibt. Das Leben ist nicht schwer genug: achso. Haha;?;?;-;irgendwie etwas vergleichbares zu Himmel und Hölle und gutmütig guterzig böse Schrecklich;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;?
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;?;?;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;?;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;?;?;-;-;;?;?;?;?;?;?;;?;?;?;?;;;
?;?;?;;?;-;-;;;?;?;?;?;?;;?;?;?;?;;;
