"zB Regex, Daten Dateien mehrfach verschieben kopieren aendern mit Muster-Angaben wie zB regex Regulaere Ausdruecke";"";49;
"Daten-Kollektiv Aendert gemeinsam Daten nach Muster, z.B. regex regulaerer Ausdruck der Chomsky Hierarchie";"";50;
"Kompressions-container-Format fuer alle Kompressionsarten wie Zip aber alle";"";51;
"Datenhalde Netzwerke mit anderen Datenhalde Netzwerken verwalten verbinden";"";52;
"Firewall fuer Daten, nur fuer Daten!";"";53;
"Firewall fuer Daten durchbrechen";"";54;
"Automatisierte Dateisysteme und Dateien";"";55;
"Netzwerk-Dateisysteme Cluster-Dateisysteme";"";56;
"als Pfad Graph alle Bewegeungen der Pfade im Verzweichnisbaum als Protokoll. Alle Pfade mit allen Pfaden.";"";57;
"mehrere Hubs zentral verwalten administrieren verwalten, wie Nähmaschinen mit vielen Nägeln gleichzeitig";"";58;
"Uebersicht git oder Subversion Repositories Diff Projekte Dateisysteme";"";59;
"Verhaeltnis Wert Daten zu Datenmenge";"";60;
"Fork von Projekt nach Wichtigkeit Relevanz wie gut wie zielfuehrend";"";61;
"Nerzwerkpartner unterteilt, wer welche Daten erhalten soll";"";62;
"vollstaendiger Weg Pfade Dateiarbeit von Pfad Anfang bis Pfad Ende von jedem Teilnehmee";"";63;
"Zentrale der Telefonzentralen foederal noch mal zentral weil foederal, oder Internetzentrale etc. usw.";"";64;
"loeschen aendern ersetzen von Daten im Dateisystembaum, welche schlecht sind";"";65;
"Liste von Automatismen fuer Daten";"";66;
"Durchlauf zu Listen und Daten den von Daten";"";67;
"Hierarchien Kompressionsarten von Daten";"";68;
"alle Cursor zu allen Cursorn von Daten also Cursor hoch 2 hoch 2 tensor statt Matrix oder Liste von Cursorn zur Datenverarbeitung und Bearbeitung";"";69;
"";"";70;
