Andersheit bzw. Unterscheidung;;;;;;;;Kompliziertheit als Verworrenheit als Schwierigkeit (11/9) (halb sicher);;;;;;;;;;
das Wesen, d.h. der Containerdatentyp (Menge, Liste und alles andere) damit indirekt alle Räume nicht nur aus Dimensionen und das impliziert damit die Abstraktheit als solches, die mathematische (0,0)-Kategorie;;;;;;Anwendung der Algebra der Mengen also über Mengenoperationen für die Praxisanwendung (12/7);;;;;;;;;;;;
Negation, unäre Operation;;;;;;;;;;;;;;;;;;
Kombination und Synthese;;;;;;;;;;;;;;;;;;
Reflexivität, Introversion, Reziprozität, Rekursion, Inversion;;;;;;;;;;;;;;;;;;
die Funktion (aus der Mathematik oder von dir in der Gesellschaft oder in der Software-Entwicklung) ([andere] Funktionen heißen in Mathematik auch „Familien“);;;;;;;;;;;;;;;;"der Teil der Numerik, der aus unsicheren (17) Daten und Informationen Funktionen (16) herstellen will (größtenteils sicher); wahrscheinlich u.a. integrieren, Integrale bilden (16/17); eine höhere Form von Integrale bilden, die wohl noch nicht erfunden wurde (32/34)";;
das Absolute (absolut gefundene und gesetzte Punkte und Linien auf einer Analysis-Funktion = Meinungen, die Menschen oder Außerirdische haben können  = sind Abbildungen von Paradigmen auf andere Paradigmen);;;;;Stochastik oder Wahrscheinlichkeitstheorie: Das Bestimmen von Wahrscheinlichkeiten aus Zahlen (größtenteils sicher);;;;;;;;;;"wahrscheinlich u.a. Differenzieren (und alle anderen Arten Funktionen auf Basis von einer Funktion zu erstellen), Ableitungen bilden (17/16); eine höhere Form von Differenzieren, die es wohl noch nicht gibt (34/32)";;;Wahrscheinlich u.a. das Erstellen der Funktion bei der Information der Gegebenheit der Extremalwerte und Sattelpunkte
die Relation (Differenzialrechnung und alles Relationale, das nicht durch einen Wahrheitswert aufgelöst werden kann, wie z.B. ein bloßer Vergleich [<,>,<=,>=]) (zwischen Meinungen differenzieren zu können)  (wenn 18. Differenzialrechnung ist, dann ist 1/18 wohl Integralrechnung);;;;;;;;;;;;;;;;;;
das Extreme (z.B. Maxima und  Minima in Analysis-Funktionen oder Bestimmen von „Unendlich“ bei Folgen und Reihen, [nicht-]lineare Optimierung), (extreme Totalitäten – als irgend so etwas wie Universalien oder Transzendentalien [Was ist das?]);;;;;;;;;;;;;;;wahrscheinlich u.a. das Berechnen der Extremalwerte und Sattelpunkte, etc. von einer Funktion;;;
die Klasse (mathematisch, gesellschaftlich, „objekt-orientierte“ Programmierung);;;;;;;;;;;;;;;;;;
Belegung, d.h. Instanziierung (wie in OOP-Softwareentwicklung), Benutzung der Methoden (Klassenfunktionen) des Objektes, alles naheliegende direkte, das man mit Objekten von Klassen anstellen kann (fast sicher);;;;;;;;;;;;;;;;;;
